version,entity_name,entity_kind,attributes
9.1,pg_stat_xact_sys_tables,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(seq_scan,bigint)"",""(seq_tup_read,bigint)"",""(idx_scan,bigint)"",""(idx_tup_fetch,bigint)"",""(n_tup_ins,bigint)"",""(n_tup_upd,bigint)"",""(n_tup_del,bigint)"",""(n_tup_hot_upd,bigint)""}"
9.1,pg_stat_xact_user_functions,View,"{""(funcid,oid)"",""(schemaname,name)"",""(funcname,name)"",""(calls,bigint)"",""(total_time,bigint)"",""(self_time,bigint)""}"
9.1,pg_stat_xact_user_tables,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(seq_scan,bigint)"",""(seq_tup_read,bigint)"",""(idx_scan,bigint)"",""(idx_tup_fetch,bigint)"",""(n_tup_ins,bigint)"",""(n_tup_upd,bigint)"",""(n_tup_del,bigint)"",""(n_tup_hot_upd,bigint)""}"
9.1,pg_statio_all_indexes,View,"{""(relid,oid)"",""(indexrelid,oid)"",""(schemaname,name)"",""(relname,name)"",""(indexrelname,name)"",""(idx_blks_read,bigint)"",""(idx_blks_hit,bigint)""}"
9.1,pg_statio_all_sequences,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(blks_read,bigint)"",""(blks_hit,bigint)""}"
9.1,pg_statio_all_tables,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(heap_blks_read,bigint)"",""(heap_blks_hit,bigint)"",""(idx_blks_read,bigint)"",""(idx_blks_hit,bigint)"",""(toast_blks_read,bigint)"",""(toast_blks_hit,bigint)"",""(tidx_blks_read,bigint)"",""(tidx_blks_hit,bigint)""}"
9.1,pg_statio_sys_indexes,View,"{""(relid,oid)"",""(indexrelid,oid)"",""(schemaname,name)"",""(relname,name)"",""(indexrelname,name)"",""(idx_blks_read,bigint)"",""(idx_blks_hit,bigint)""}"
9.1,pg_statio_sys_sequences,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(blks_read,bigint)"",""(blks_hit,bigint)""}"
9.1,pg_statio_sys_tables,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(heap_blks_read,bigint)"",""(heap_blks_hit,bigint)"",""(idx_blks_read,bigint)"",""(idx_blks_hit,bigint)"",""(toast_blks_read,bigint)"",""(toast_blks_hit,bigint)"",""(tidx_blks_read,bigint)"",""(tidx_blks_hit,bigint)""}"
9.1,pg_statio_user_indexes,View,"{""(relid,oid)"",""(indexrelid,oid)"",""(schemaname,name)"",""(relname,name)"",""(indexrelname,name)"",""(idx_blks_read,bigint)"",""(idx_blks_hit,bigint)""}"
9.1,pg_statio_user_sequences,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(blks_read,bigint)"",""(blks_hit,bigint)""}"
9.1,pg_statio_user_tables,View,"{""(relid,oid)"",""(schemaname,name)"",""(relname,name)"",""(heap_blks_read,bigint)"",""(heap_blks_hit,bigint)"",""(idx_blks_read,bigint)"",""(idx_blks_hit,bigint)"",""(toast_blks_read,bigint)"",""(toast_blks_hit,bigint)"",""(tidx_blks_read,bigint)"",""(tidx_blks_hit,bigint)""}"
9.1,pg_stats,View,"{""(schemaname,name)"",""(tablename,name)"",""(attname,name)"",""(inherited,boolean)"",""(null_frac,real)"",""(avg_width,integer)"",""(n_distinct,real)"",""(most_common_vals,anyarray)"",""(most_common_freqs,real[])"",""(histogram_bounds,anyarray)"",""(correlation,real)""}"
9.1,pg_tables,View,"{""(schemaname,name)"",""(tablename,name)"",""(tableowner,name)"",""(tablespace,name)"",""(hasindexes,boolean)"",""(hasrules,boolean)"",""(hastriggers,boolean)""}"
9.1,pg_timezone_abbrevs,View,"{""(abbrev,text)"",""(utc_offset,interval)"",""(is_dst,boolean)""}"
9.1,pg_timezone_names,View,"{""(name,text)"",""(abbrev,text)"",""(utc_offset,interval)"",""(is_dst,boolean)""}"
9.1,pg_user,View,"{""(usename,name)"",""(usesysid,oid)"",""(usecreatedb,boolean)"",""(usesuper,boolean)"",""(usecatupd,boolean)"",""(userepl,boolean)"",""(passwd,text)"",""(valuntil,abstime)"",""(useconfig,text[])""}"
9.1,pg_user_mappings,View,"{""(umid,oid)"",""(srvid,oid)"",""(srvname,name)"",""(umuser,oid)"",""(usename,name)"",""(umoptions,text[])""}"
9.1,pg_views,View,"{""(schemaname,name)"",""(viewname,name)"",""(viewowner,name)"",""(definition,text)""}"
9.2,pg_aggregate,Table,"{""(aggfnoid,regproc)"",""(aggtransfn,regproc)"",""(aggfinalfn,regproc)"",""(aggsortop,oid)"",""(aggtranstype,oid)"",""(agginitval,text)""}"
9.2,pg_am,Table,"{""(oid,oid)"",""(amname,name)"",""(amstrategies,smallint)"",""(amsupport,smallint)"",""(amcanorder,boolean)"",""(amcanorderbyop,boolean)"",""(amcanbackward,boolean)"",""(amcanunique,boolean)"",""(amcanmulticol,boolean)"",""(amoptionalkey,boolean)"",""(amsearcharray,boolean)"",""(amsearchnulls,boolean)"",""(amstorage,boolean)"",""(amclusterable,boolean)"",""(ampredlocks,boolean)"",""(amkeytype,oid)"",""(aminsert,regproc)"",""(ambeginscan,regproc)"",""(amgettuple,regproc)"",""(amgetbitmap,regproc)"",""(amrescan,regproc)"",""(amendscan,regproc)"",""(ammarkpos,regproc)"",""(amrestrpos,regproc)"",""(ambuild,regproc)"",""(ambuildempty,regproc)"",""(ambulkdelete,regproc)"",""(amvacuumcleanup,regproc)"",""(amcanreturn,regproc)"",""(amcostestimate,regproc)"",""(amoptions,regproc)""}"
